Frame	Time	Point #1.X	Point #1.Y	Point #2.X	Point #2.Y	Point #3.X	Point #3.Y	Point #4.X	Point #4.Y	Angle #1
212	0,963469	167,500000	901,500000	368,850006	613,400024	498,500000	238,817993	678,799988	260,500000	195,857574
213	0,968035	167,167007	901,500000	369,649994	613,700012	496,889008	238,889008	676,635986	258,817993	196,377411
214	0,972602	167,285995	901,143005	370,833008	614,221985	494,817993	237,817993	674,635986	256,817993	197,121033
215	0,977168	167,610992	902,000000	371,549988	616,200012	492,750000	237,500000	672,544983	254,817993	197,763748
216	0,981734	167,875000	902,500000	372,200012	616,400024	490,350006	236,699997	670,364014	252,817993	198,249008
217	0,986300	168,000000	902,143005	372,850006	617,400024	488,166992	236,110992	667,937988	250,500000	198,904617
218	0,990866	167,856995	903,000000	373,889008	617,888977	484,954987	236,817993	665,650024	249,399994	199,604141
219	0,995432	168,375000	903,375000	374,250000	618,400024	482,600006	237,199997	663,500000	247,000000	199,978592
220	0,999999	168,582993	903,500000	375,444000	618,111023	480,364014	236,727005	661,166992	245,417007	200,554306
221	1,004565	168,929001	903,143005	375,791992	619,416992	477,545013	236,000000	658,773010	244,000000	201,232758
222	1,009131	169,000000	903,625000	376,221985	619,888977	475,135986	235,908997	656,549988	241,600006	201,696472
223	1,013697	169,570999	904,143005	376,500000	620,888977	472,450012	235,399994	654,221985	241,000000	202,172546
224	1,018263	169,875000	904,500000	377,100006	620,599976	469,545013	235,636002	651,599976	239,399994	202,623260
225	1,022830	169,856995	904,856995	378,056000	620,111023	467,000000	234,332993	649,182007	237,817993	203,190216
226	1,027396	169,832993	904,500000	378,450012	621,400024	464,614990	233,923004	646,591003	235,908997	203,849457
227	1,031962	170,000000	905,000000	378,950012	621,500000	461,908997	233,000000	643,950012	233,600006	204,337875
228	1,036528	170,750000	905,500000	379,000000	621,500000	459,299988	233,300003	641,056030	232,000000	204,564728
229	1,041094	171,000000	905,856995	379,556000	621,888977	456,791992	232,332993	638,599976	230,500000	205,080444
230	1,045661	171,143005	905,856995	379,666992	622,000000	454,423004	231,768997	635,599976	229,399994	205,456665
231	1,050227	171,750000	905,500000	379,682007	622,182007	452,000000	231,399994	633,125000	227,417007	205,791061
232	1,054793	171,750000	905,500000	379,833008	622,888977	449,000000	230,332993	630,455017	226,000000	206,371002
233	1,059359	171,832993	905,500000	380,200012	622,400024	447,000000	230,000000	627,400024	224,399994	206,692673
234	1,063925	172,356995	905,143005	380,110992	622,888977	443,908997	229,000000	624,888977	223,000000	207,154770
235	1,068492	172,250000	905,500000	380,312988	622,500000	441,500000	228,889008	622,000000	221,500000	207,487579
236	1,073058	172,500000	905,500000	380,812988	621,500000	438,591003	228,727005	619,125000	219,582993	207,891571
237	1,077624	173,000000	905,856995	380,778015	621,888977	435,799988	227,600006	616,182007	218,000000	208,248581
