"Latest: Time (s)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)"
4.86,21.7790221491,28.9467589642
4.87,21.7790221491,28.831780801
4.88,21.8257417415,28.9467589642
4.89,21.8023829681,28.8084985283
4.9,21.7790221491,28.9467589642
4.91,21.7556592718,28.8550645557
4.92,21.8023829681,28.9467589642
4.93,21.7556592718,28.8550645557
4.94,21.7790221491,28.8550645557
4.95,21.7556592718,28.9249248252
4.96,21.7790221491,28.9467589642
4.97,21.7790221491,28.9016365565
4.98,21.7790221491,28.9700502027
4.99,21.7556592718,28.8783498038
5,21.7790221491,28.9467589642
5.01,21.7556592718,28.8783498038
5.02,21.7790221491,28.9700502027
5.03,21.7556592718,28.8550645557
5.04,21.7790221491,28.831780801
5.05,21.7556592718,28.831780801
5.06,21.7790221491,28.9467589642
5.07,21.7556592718,28.8783498038
5.08,21.8023829681,28.831780801
5.09,21.7790221491,28.9467589642
5.1,21.8023829681,28.831780801
5.11,21.7790221491,28.9249248252
5.12,21.8023829681,28.831780801
5.13,21.7790221491,28.9467589642
5.14,21.7790221491,28.9249248252
5.15,21.7790221491,28.831780801
5.16,21.7790221491,28.9700502027
5.17,21.7103877936,28.831780801
5.18,21.7556592718,28.9467589642
5.19,21.7337546941,28.8783498038
5.2,21.8023829681,28.9467589642
5.21,21.7337546941,28.8783498038
5.22,21.7790221491,28.9467589642
5.23,21.7790221491,28.831780801
5.24,21.8257417415,28.9467589642
5.25,21.7556592718,28.9249248252
5.26,21.7790221491,28.9700502027
5.27,21.7790221491,28.9249248252
5.28,21.7790221491,28.9700502027
5.29,21.7103877936,28.8084985283
5.3,21.7556592718,28.9249248252
5.31,21.7556592718,28.9249248252
5.32,21.7790221491,28.8783498038
5.33,21.7556592718,28.8783498038
5.34,21.8023829681,28.9467589642
5.35,21.7556592718,28.831780801
5.36,21.7790221491,28.9467589642
5.37,21.7556592718,28.831780801
5.38,21.7556592718,28.9467589642
5.39,21.7556592718,28.8550645557
5.4,21.8023829681,28.9467589642
5.41,21.7790221491,28.9249248252
5.42,21.7790221491,28.9467589642
5.43,21.7556592718,28.831780801
5.44,21.7790221491,28.9249248252
5.45,21.7556592718,28.8783498038
5.46,21.7790221491,28.9467589642
5.47,21.7790221491,28.8084985283
5.48,21.7790221491,28.9016365565
5.49,21.7556592718,28.9467589642
5.5,21.7556592718,28.8783498038
5.51,21.7337546941,28.9249248252
5.52,21.8257417415,28.831780801
5.53,21.7337546941,28.9249248252
5.54,21.7790221491,28.8783498038
5.55,21.7556592718,28.7852177261
5.56,21.8023829681,28.9467589642
5.57,21.7556592718,28.8783498038
5.58,21.7790221491,28.9467589642
5.59,21.7790221491,28.831780801
5.6,21.7556592718,28.9467589642
5.61,21.7103877936,28.9016365565
5.62,21.7556592718,28.8783498038
5.63,21.7103877936,28.9467589642
5.64,21.7556592718,28.831780801
5.65,21.7556592718,28.9016365565
5.66,21.8023829681,28.9467589642
5.67,21.7556592718,28.8550645557
5.68,21.8023829681,28.8550645557
5.69,21.7790221491,28.9467589642
5.7,21.7790221491,28.831780801
5.71,21.7790221491,28.9249248252
5.72,21.7790221491,28.8783498038
5.73,21.7556592718,28.9249248252
5.74,21.7556592718,28.831780801
5.75,21.7556592718,28.9249248252
5.76,21.7790221491,28.9467589642
5.77,21.7103877936,28.8550645557
5.78,21.7556592718,28.8783498038
5.79,21.7790221491,28.9016365565
5.8,21.7790221491,28.9249248252
5.81,21.7103877936,28.831780801
5.82,21.7790221491,28.8783498038
5.83,21.8023829681,28.831780801
5.84,21.7790221491,28.9467589642
5.85,21.7556592718,28.8783498038
5.86,21.7790221491,28.9249248252
5.87,21.7103877936,28.9249248252
5.88,21.8257417415,28.8783498038
5.89,21.7337546941,28.831780801
5.9,21.7556592718,28.9249248252
5.91,21.7103877936,28.9467589642
5.92,21.7790221491,28.9467589642
5.93,21.7790221491,28.9249248252
5.94,21.8023829681,28.831780801
5.95,21.7337546941,28.9249248252
5.96,21.8023829681,28.9467589642
5.97,21.7556592718,28.8783498038
5.98,21.8257417415,28.831780801
5.99,21.7790221491,28.9016365565
6,21.7790221491,28.9249248252
6.01,21.7556592718,28.831780801
6.02,21.7790221491,28.9467589642
6.03,21.7556592718,28.831780801
6.04,21.7790221491,28.8783498038
6.05,21.7103877936,28.9016365565
6.06,21.7556592718,28.9467589642
6.07,21.7556592718,28.831780801
6.08,21.8023829681,28.9249248252
6.09,21.7790221491,28.9016365565
6.1,21.8023829681,28.8550645557
6.11,21.7556592718,28.9467589642
6.12,21.7790221491,28.831780801
6.13,21.7790221491,28.9016365565
6.14,21.7790221491,28.8783498038
6.15,21.7337546941,28.831780801
6.16,21.7556592718,28.9467589642
6.17,21.7337546941,28.8550645557
6.18,21.7556592718,28.831780801
6.19,21.7337546941,28.9016365565
6.2,21.7556592718,28.9467589642
6.21,21.7556592718,28.8783498038
6.22,21.8023829681,28.831780801
6.23,21.7790221491,28.9016365565
6.24,21.8023829681,28.9467589642
6.25,21.7556592718,28.7852177261
6.26,21.8023829681,28.9467589642
6.27,21.7337546941,28.8783498038
6.28,21.7790221491,28.831780801
6.29,21.7103877936,28.9249248252
6.3,21.7556592718,28.8783498038
6.31,21.7556592718,28.8550645557
6.32,21.7556592718,28.9467589642
6.33,21.7790221491,28.8550645557
6.34,21.7790221491,28.831780801
6.35,21.7790221491,28.9249248252
6.36,21.8023829681,28.9016365565
6.37,21.7790221491,28.831780801
6.38,21.7790221491,28.9467589642
6.39,21.7556592718,28.9467589642
6.4,21.7790221491,28.8783498038
6.41,21.7337546941,28.831780801
6.42,21.7790221491,28.9467589642
6.43,21.7790221491,28.8550645557
6.44,21.7790221491,28.831780801
6.45,21.7556592718,28.9467589642
6.46,21.8257417415,28.8783498038
6.47,21.7790221491,28.9016365565
6.48,21.7790221491,28.831780801
6.49,21.7337546941,28.9249248252
6.5,21.7790221491,28.9249248252
6.51,21.7790221491,28.831780801
6.52,21.7790221491,28.831780801
6.53,21.7337546941,28.8783498038
6.54,21.7790221491,28.9467589642
6.55,21.7556592718,28.8550645557
6.56,21.7790221491,28.9016365565
6.57,21.7337546941,28.9249248252
6.58,21.7790221491,28.831780801
6.59,21.7790221491,28.9016365565
6.6,21.7790221491,28.9249248252
6.61,21.7790221491,28.9016365565
6.62,21.8023829681,28.831780801
6.63,21.7790221491,28.9016365565
6.64,21.8023829681,28.9467589642
6.65,21.7103877936,28.831780801
6.66,21.7790221491,28.831780801
6.67,21.7337546941,28.831780801
6.68,21.7790221491,28.9467589642
6.69,21.7556592718,28.8084985283
6.7,21.7790221491,28.9249248252
6.71,21.7790221491,28.9249248252
6.72,21.7790221491,28.8783498038
6.73,21.7790221491,28.831780801
6.74,21.7790221491,28.9467589642
6.75,21.7790221491,28.9467589642
6.76,21.7790221491,28.831780801
6.77,21.7103877936,28.9249248252
6.78,21.7790221491,28.8783498038
6.79,21.7103877936,28.831780801
6.8,21.7790221491,28.9249248252
6.81,21.7556592718,28.9467589642
6.82,21.7790221491,28.831780801
6.83,21.7556592718,28.831780801
6.84,21.7790221491,28.9249248252
6.85,21.7790221491,28.9249248252
6.86,21.8023829681,28.831780801
6.87,21.7556592718,28.9016365565
6.88,21.7790221491,28.9700502027
6.89,21.7556592718,28.8783498038
6.9,21.7790221491,28.831780801
6.91,21.7556592718,28.9016365565
6.92,21.7556592718,28.831780801
6.93,21.7556592718,28.8783498038
6.94,21.7790221491,28.9467589642
6.95,21.7556592718,28.8084985283
6.96,21.7790221491,28.9467589642
6.97,21.7556592718,28.8550645557
6.98,21.7790221491,28.831780801
6.99,21.7556592718,28.9016365565
7,21.7790221491,28.9467589642
7.01,21.7556592718,28.8084985283
7.02,21.7790221491,28.8550645557
7.03,21.7556592718,28.9249248252
7.04,21.7790221491,28.8783498038
7.05,21.7790221491,28.8550645557
7.06,21.7790221491,28.9467589642
7.07,21.7556592718,28.831780801
7.08,21.7790221491,28.8783498038
7.09,21.7556592718,28.9016365565
7.1,21.8023829681,28.831780801
7.11,21.7556592718,28.9016365565
7.12,21.7790221491,28.8783498038
7.13,21.7556592718,28.9249248252
7.14,21.7790221491,28.9467589642
7.15,21.7556592718,28.831780801
7.16,21.7790221491,28.9249248252
7.17,21.7790221491,28.8084985283
7.18,21.7790221491,28.9249248252
7.19,21.7556592718,28.8783498038
7.2,21.7790221491,28.831780801
7.21,21.7556592718,28.9016365565
7.22,21.7790221491,28.8783498038
7.23,21.7556592718,28.831780801
7.24,21.7790221491,28.8783498038
7.25,21.7556592718,28.9249248252
7.26,21.7790221491,28.831780801
7.27,21.7556592718,28.9016365565
7.28,21.7790221491,28.8550645557
7.29,21.7556592718,28.9249248252
7.3,21.7790221491,28.9016365565
7.31,21.7556592718,28.8084985283
7.32,21.7790221491,28.9467589642
7.33,21.7556592718,28.9016365565
7.34,21.7790221491,28.8084985283
7.35,21.7790221491,28.9249248252
7.36,21.7790221491,28.8084985283
7.37,21.7556592718,28.9016365565
7.38,21.7790221491,28.8783498038
7.39,21.7556592718,28.831780801
7.4,21.7790221491,28.9249248252
7.41,21.7556592718,28.7852177261
